id,label,label_encoded
0,Apple Braeburn,0
1,Apple Braeburn,0
2,Apple Braeburn,0
3,Apple Braeburn,0
4,Apple Braeburn,0
5,Apple Braeburn,0
6,Apple Braeburn,0
7,Apple Braeburn,0
8,Apple Braeburn,0
9,Apple Braeburn,0
10,Apple Braeburn,0
11,Apple Braeburn,0
12,Apple Braeburn,0
13,Apple Braeburn,0
14,Apple Braeburn,0
15,Apple Braeburn,0
16,Apple Braeburn,0
17,Apple Braeburn,0
18,Apple Braeburn,0
19,Apple Braeburn,0
20,Apple Braeburn,0
21,Apple Braeburn,0
22,Apple Braeburn,0
23,Apple Braeburn,0
24,Apple Braeburn,0
25,Apple Braeburn,0
26,Apple Braeburn,0
27,Apple Braeburn,0
28,Apple Braeburn,0
29,Apple Braeburn,0
30,Apple Braeburn,0
31,Apple Braeburn,0
32,Apple Braeburn,0
33,Apple Braeburn,0
34,Apple Braeburn,0
35,Apple Braeburn,0
36,Apple Braeburn,0
37,Apple Braeburn,0
38,Apple Braeburn,0
39,Apple Braeburn,0
40,Apple Braeburn,0
41,Apple Braeburn,0
42,Apple Braeburn,0
43,Apple Braeburn,0
44,Apple Braeburn,0
45,Apple Braeburn,0
46,Apple Braeburn,0
47,Apple Braeburn,0
48,Apple Braeburn,0
49,Apple Braeburn,0
50,Apple Braeburn,0
51,Apple Braeburn,0
52,Apple Braeburn,0
53,Apple Braeburn,0
54,Apple Braeburn,0
55,Apple Braeburn,0
56,Apple Braeburn,0
57,Apple Braeburn,0
58,Apple Braeburn,0
59,Apple Braeburn,0
60,Apple Braeburn,0
61,Apple Braeburn,0
62,Apple Braeburn,0
63,Apple Braeburn,0
64,Apple Braeburn,0
65,Apple Braeburn,0
66,Apple Braeburn,0
67,Apple Braeburn,0
68,Apple Braeburn,0
69,Apple Braeburn,0
70,Apple Braeburn,0
71,Apple Braeburn,0
72,Apple Braeburn,0
73,Apple Braeburn,0
74,Apple Braeburn,0
75,Apple Braeburn,0
76,Apple Braeburn,0
77,Apple Braeburn,0
78,Apple Braeburn,0
79,Apple Braeburn,0
80,Apple Braeburn,0
81,Apple Braeburn,0
82,Apple Braeburn,0
83,Apple Braeburn,0
84,Apple Braeburn,0
85,Apple Braeburn,0
86,Apple Braeburn,0
87,Apple Braeburn,0
88,Apple Braeburn,0
89,Apple Braeburn,0
90,Apple Braeburn,0
91,Apple Braeburn,0
92,Apple Braeburn,0
93,Apple Braeburn,0
94,Apple Braeburn,0
95,Apple Braeburn,0
96,Apple Braeburn,0
97,Apple Braeburn,0
98,Apple Braeburn,0
99,Apple Braeburn,0
100,Apple Braeburn,0
101,Apple Braeburn,0
102,Apple Braeburn,0
103,Apple Braeburn,0
104,Apple Braeburn,0
105,Apple Braeburn,0
106,Apple Braeburn,0
107,Apple Braeburn,0
108,Apple Braeburn,0
109,Apple Braeburn,0
110,Apple Braeburn,0
111,Apple Braeburn,0
112,Apple Braeburn,0
113,Apple Braeburn,0
114,Apple Braeburn,0
115,Apple Braeburn,0
116,Apple Braeburn,0
117,Apple Braeburn,0
118,Apple Braeburn,0
119,Apple Braeburn,0
120,Apple Braeburn,0
121,Apple Braeburn,0
122,Apple Braeburn,0
123,Apple Braeburn,0
124,Apple Braeburn,0
125,Apple Braeburn,0
126,Apple Braeburn,0
127,Apple Braeburn,0
128,Apple Braeburn,0
129,Apple Braeburn,0
130,Apple Braeburn,0
131,Apple Braeburn,0
132,Apple Braeburn,0
133,Apple Braeburn,0
134,Apple Braeburn,0
135,Apple Braeburn,0
136,Apple Braeburn,0
137,Apple Braeburn,0
138,Apple Braeburn,0
139,Apple Braeburn,0
140,Apple Braeburn,0
141,Apple Braeburn,0
142,Apple Braeburn,0
143,Apple Braeburn,0
144,Apple Braeburn,0
145,Apple Braeburn,0
146,Apple Braeburn,0
147,Apple Braeburn,0
148,Apple Braeburn,0
149,Apple Braeburn,0
150,Apple Braeburn,0
151,Apple Braeburn,0
152,Apple Braeburn,0
153,Apple Braeburn,0
154,Apple Braeburn,0
155,Apple Braeburn,0
156,Apple Braeburn,0
157,Apple Braeburn,0
158,Apple Braeburn,0
159,Apple Braeburn,0
160,Apple Braeburn,0
161,Apple Braeburn,0
162,Apple Braeburn,0
163,Apple Braeburn,0
164,Apple Braeburn,0
165,Apple Braeburn,0
166,Apple Braeburn,0
167,Apple Braeburn,0
168,Apple Braeburn,0
169,Apple Braeburn,0
170,Apple Braeburn,0
171,Apple Braeburn,0
172,Apple Braeburn,0
173,Apple Braeburn,0
174,Apple Braeburn,0
175,Apple Braeburn,0
176,Apple Braeburn,0
177,Apple Braeburn,0
178,Apple Braeburn,0
179,Apple Braeburn,0
180,Apple Braeburn,0
181,Apple Braeburn,0
182,Apple Braeburn,0
183,Apple Braeburn,0
184,Apple Braeburn,0
185,Apple Braeburn,0
186,Apple Braeburn,0
187,Apple Braeburn,0
188,Apple Braeburn,0
189,Apple Braeburn,0
190,Apple Braeburn,0
191,Apple Braeburn,0
192,Apple Braeburn,0
193,Apple Braeburn,0
194,Apple Braeburn,0
195,Apple Braeburn,0
196,Apple Braeburn,0
197,Apple Braeburn,0
198,Apple Braeburn,0
199,Apple Braeburn,0
200,Apple Braeburn,0
201,Apple Braeburn,0
202,Apple Braeburn,0
203,Apple Braeburn,0
204,Apple Braeburn,0
205,Apple Braeburn,0
206,Apple Braeburn,0
207,Apple Braeburn,0
208,Apple Braeburn,0
209,Apple Braeburn,0
210,Apple Braeburn,0
211,Apple Braeburn,0
212,Apple Braeburn,0
213,Apple Braeburn,0
214,Apple Braeburn,0
215,Apple Braeburn,0
216,Apple Braeburn,0
217,Apple Braeburn,0
218,Apple Braeburn,0
219,Apple Braeburn,0
220,Apple Braeburn,0
221,Apple Braeburn,0
222,Apple Braeburn,0
223,Apple Braeburn,0
224,Apple Braeburn,0
225,Apple Braeburn,0
226,Apple Braeburn,0
227,Apple Braeburn,0
228,Apple Braeburn,0
229,Apple Braeburn,0
230,Apple Braeburn,0
231,Apple Braeburn,0
232,Apple Braeburn,0
233,Apple Braeburn,0
234,Apple Braeburn,0
235,Apple Braeburn,0
236,Apple Braeburn,0
237,Apple Braeburn,0
238,Apple Braeburn,0
239,Apple Braeburn,0
240,Apple Braeburn,0
241,Apple Braeburn,0
242,Apple Braeburn,0
243,Apple Braeburn,0
244,Apple Braeburn,0
245,Apple Braeburn,0
246,Apple Braeburn,0
247,Apple Braeburn,0
248,Apple Braeburn,0
249,Apple Braeburn,0
250,Apple Braeburn,0
251,Apple Braeburn,0
252,Apple Braeburn,0
253,Apple Braeburn,0
254,Apple Braeburn,0
255,Apple Braeburn,0
256,Apple Braeburn,0
257,Apple Braeburn,0
258,Apple Braeburn,0
259,Apple Braeburn,0
260,Apple Braeburn,0
261,Apple Braeburn,0
262,Apple Braeburn,0
263,Apple Braeburn,0
264,Apple Braeburn,0
265,Apple Braeburn,0
266,Apple Braeburn,0
267,Apple Braeburn,0
268,Apple Braeburn,0
269,Apple Braeburn,0
270,Apple Braeburn,0
271,Apple Braeburn,0
272,Apple Braeburn,0
273,Apple Braeburn,0
274,Apple Braeburn,0
275,Apple Braeburn,0
276,Apple Braeburn,0
277,Apple Braeburn,0
278,Apple Braeburn,0
279,Apple Braeburn,0
